物件名,平米単価,家賃,管理費・共益費,敷金,礼金,保証金,敷引・償却,部屋の特徴・設備,所在地,駅徒歩,間取り,間取り詳細,専有面積,バルコニー面積,階,向き,建物種別,構造,階建,築年数,築年月,損保,駐車場,入居,取引態様,条件,取り扱い店舗物件コード,SUUMO物件コード,総戸数,情報更新日,次回更新日,契約期間,仲介手数料,保証会社,ほか初期費用,ほか諸費用,備考,URL
コーポ大道,1428.571429,30000,-,-,-,-,-,バストイレ別、バルコニー、エアコン、フローリング、室内洗濯置、シューズボックス、駐輪場、押入、CATV、即入居可、礼金不要、最上階、敷金不要、バイク置場、ネット使用料不要、和室、都市ガス、敷金・礼金不要、保証会社利用可、初期費用カード決済可,大分県大分市大道町５,ＪＲ久大本線/大分駅 歩13分,1K,和6 K3,21,-,5階,東,マンション,鉄筋コン,5階/5階建,築40年,1985年3月,要,敷地内7000円,即,仲介,-,99644428,100374090936,25戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 月額総賃料の50％（初回）　月額保証料1.5％（毎月）,合計5.72万円（内訳：保証料／入居安心パック等）,水道料　３０００円（月額）／ライフサポート２４Ｍ　１１００円（月額）／その他月額費用　１０２５円（月額）,保証会社:(株)アプラス月額総賃料の５０％（初回）　月額保証料１．５％（毎月）,https://suumo.jp/chintai/jnc_000089654002/?bc=100374090936
コーポ大道,1428.571429,30000,-,-,-,-,-,バストイレ別、バルコニー、エアコン、フローリング、室内洗濯置、シューズボックス、駐輪場、押入、CATV、即入居可、礼金不要、敷金不要、バイク置場、ネット使用料不要、和室、都市ガス、敷金・礼金不要、保証会社利用可、初期費用カード決済可,大分県大分市大道町５,ＪＲ久大本線/大分駅 歩13分,1K,和6 K3,21,-,4階,東,マンション,鉄筋コン,4階/5階建,築40年,1985年3月,要,敷地内7000円,即,仲介,-,99644505,100374090812,25戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 初回～総賃料50％　月額～総賃料の1.5％,合計5.72万円（内訳：保証料／入居安心パック等）,水道料　３０００円（月額）／ライフサポート２４Ｍ　１１００円（月額）／その他月額費用　１０２５円（月額）,保証会社:(株)アプラス　５０％（初回）　　月額１．５％,https://suumo.jp/chintai/jnc_000089653998/?bc=100374090812
コーポ大道,1428.571429,30000,-,-,-,-,-,バストイレ別、バルコニー、エアコン、フローリング、室内洗濯置、シューズボックス、駐輪場、押入、CATV、即入居可、礼金不要、敷金不要、バイク置場、ネット使用料不要、和室、都市ガス、敷金・礼金不要、保証会社利用可、初期費用カード決済可,大分県大分市大道町５,ＪＲ久大本線/大分駅 歩13分,1K,和6 K3,21,-,4階,東,マンション,鉄筋コン,4階/5階建,築40年,1985年3月,要,敷地内7000円,即,仲介,-,99644506,100374090917,25戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 初回～総賃料50％　月額～総賃料の1.5％,合計5.72万円（内訳：保証料／入居安心パック等）,水道料　３０００円（月額）／ライフサポート２４Ｍ　１１００円（月額）／その他月額費用　１０２５円（月額）,保証会社:(株)アプラス　５０％（初回）　　月額１．５％,https://suumo.jp/chintai/jnc_000089653999/?bc=100374090917
コーポ大道,1428.571429,30000,-,-,-,-,-,バストイレ別、バルコニー、エアコン、フローリング、室内洗濯置、シューズボックス、駐輪場、押入、CATV、即入居可、礼金不要、敷金不要、バイク置場、ネット使用料不要、和室、都市ガス、敷金・礼金不要、保証会社利用可、初期費用カード決済可,大分県大分市大道町５,ＪＲ久大本線/大分駅 歩13分,1K,和6 K3,21,-,4階,東,マンション,鉄筋コン,4階/5階建,築40年,1985年3月,要,敷地内7000円,即,仲介,-,99644427,100374090795,25戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 初回～総賃料50％　月額～総賃料の1.5％,合計5.72万円（内訳：保証料／入居安心パック等）,水道料　３０００円（月額）／ライフサポート２４Ｍ　１１００円（月額）／その他月額費用　１０２５円（月額）,保証会社:(株)アプラス　５０％（初回）　　月額１．５％,https://suumo.jp/chintai/jnc_000089654000/?bc=100374090795
コーポ大道,1428.571429,30000,-,-,-,-,-,バストイレ別、バルコニー、エアコン、フローリング、室内洗濯置、シューズボックス、駐輪場、押入、CATV、即入居可、礼金不要、最上階、敷金不要、バイク置場、ネット使用料不要、和室、都市ガス、敷金・礼金不要、保証会社利用可、初期費用カード決済可,大分県大分市大道町５,ＪＲ久大本線/大分駅 歩13分,1K,和6 K3,21,-,5階,東,マンション,鉄筋コン,5階/5階建,築40年,1985年3月,要,敷地内7000円,即,仲介,-,91825643,100374090940,25戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 初回～総賃料50％　月額～総賃料の1.5％,合計5.72万円（内訳：保証料／入居安心パック等）,水道料　３０００円（月額）／ライフサポート２４Ｍ　１１００円（月額）／その他月額費用　１０２５円（月額）,保証会社:(株)アプラス　５０％（初回）　　月額１．５％,https://suumo.jp/chintai/jnc_000089654005/?bc=100374090940
コーポ大道,1428.571429,30000,-,-,-,-,-,バストイレ別、バルコニー、エアコン、フローリング、室内洗濯置、シューズボックス、駐輪場、押入、CATV、即入居可、礼金不要、敷金不要、バイク置場、ネット使用料不要、和室、都市ガス、敷金・礼金不要、保証会社利用可、初期費用カード決済可,大分県大分市大道町５,ＪＲ久大本線/大分駅 歩13分,1K,和6 K3,21,-,4階,東,マンション,鉄筋コン,4階/5階建,築40年,1985年3月,要,敷地内7000円,即,仲介,-,91825641,100374090793,25戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 初回～総賃料50％　月額～総賃料の1.5％,合計5.72万円（内訳：保証料／入居安心パック等）,水道料　３０００円（月額）／ライフサポート２４Ｍ　１１００円（月額）／その他月額費用　１０２５円（月額）,保証会社:(株)アプラス　５０％（初回）　　月額１．５％,https://suumo.jp/chintai/jnc_000089654001/?bc=100374090793
コーポ大道,1428.571429,30000,-,-,-,-,-,バストイレ別、バルコニー、エアコン、フローリング、室内洗濯置、シューズボックス、駐輪場、押入、CATV、即入居可、礼金不要、最上階、敷金不要、バイク置場、ネット使用料不要、和室、都市ガス、敷金・礼金不要、保証会社利用可、初期費用カード決済可,大分県大分市大道町５,ＪＲ久大本線/大分駅 歩13分,1K,和6 K3,21,-,5階,東,マンション,鉄筋コン,5階/5階建,築40年,1985年3月,要,敷地内7000円,即,仲介,-,99644432,100374090826,25戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 初回～総賃料50％　月額～総賃料の1.5％,合計5.72万円（内訳：保証料／入居安心パック等）,水道料　３０００円（月額）／ライフサポート２４Ｍ　１１００円（月額）／その他月額費用　１０２５円（月額）,保証会社:(株)アプラス　５０％（初回）　　月額１．５％,https://suumo.jp/chintai/jnc_000089654003/?bc=100374090826
コーポ大道,1428.571429,30000,-,-,-,-,-,バストイレ別、バルコニー、エアコン、フローリング、室内洗濯置、シューズボックス、駐輪場、押入、CATV、即入居可、礼金不要、敷金不要、バイク置場、ネット使用料不要、和室、都市ガス、敷金・礼金不要、保証会社利用可、初期費用カード決済可,大分県大分市大道町５,ＪＲ久大本線/大分駅 歩13分,1K,和6 K3,21,-,4階,東,マンション,鉄筋コン,4階/5階建,築40年,1985年3月,要,敷地内7000円,即,仲介,-,99644491,100374090803,25戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 初回～総賃料50％　月額～総賃料の1.5％,合計5.72万円（内訳：保証料／入居安心パック等）,水道料　３０００円（月額）／ライフサポート２４Ｍ　１１００円（月額）／その他月額費用　１０２５円（月額）,保証会社:(株)アプラス　５０％（初回）　　月額１．５％,https://suumo.jp/chintai/jnc_000089653997/?bc=100374090803
ベルーフ吉田,1500,30000,-,-,-,-,-,エアコン、ガスコンロ対応、室内洗濯置、駐輪場、即入居可、最上階、ペット相談、照明付、2沿線利用可、3駅以上利用可、和室、全居室6畳以上、プロパンガス、敷金・礼金不要、初期費用カード決済可,大分県大分市大道町３,"ＪＲ日豊本線/大分駅 歩11分
ＪＲ久大本線/古国府駅 歩27分
ＪＲ久大本線/南大分駅 歩31分",1K,和6,20,-,4階,-,アパート,鉄筋コン,4階/4階建,築41年,1984年4月,1.8万円2年,-,即,仲介,二人入居可/ペット相談,2645041,100320636172,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 初回保証料：月額総賃料の８０％,合計8.87万円（内訳：抗菌施工代:17600円、ファイテック:13860円、アルソックロック:2200円、安心入居サポート:16500円、Gゼロパック:38500円）,クリーニング代:30000円 町会費400円,-,https://suumo.jp/chintai/jnc_000081117311/?bc=100320636172
シティコート,1373.504652,31000,1000円,-,-,-,-,バストイレ別、エアコン、ガスコンロ対応、TVインターホン、室内洗濯置、温水洗浄便座、CATV、ネット使用料不要、プロパンガス,大分県大分市大道町４,ＪＲ日豊本線/大分駅 歩11分,1K,-,22.57,-,1階,南,マンション,鉄筋コン,1階/3階建,築35年,1990年6月,要,-,即,仲介,フリーレント1ヶ月,112780102,100377626656,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２８，８４０円　更新無,合計14.63万円（内訳：鍵交換代12100円/清掃費24200円/その他初期費用110000円）,安心サポート1600円/月　その他月額負担費用2450円/月,-,https://suumo.jp/chintai/jnc_000090170715/?bc=100377626656
シティコート,1373.504652,31000,1000円,-,-,-,-,バストイレ別、エアコン、ガスコンロ対応、フローリング、TVインターホン、室内洗濯置、温水洗浄便座、洗面化粧台、CATV、ネット使用料不要、プロパンガス,大分県大分市大道町４,ＪＲ日豊本線/大分駅 歩11分,1K,-,22.57,-,1階,南,マンション,鉄筋コン,1階/3階建,築35年,1990年6月,要,-,相談,仲介,フリーレント1ヶ月,112780103,100387873757,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２８，８４０円　更新無,合計3.63万円（内訳：鍵交換代12100円/清掃費24200円）,安心サポート1600円/月　その他月額負担費用2450円/月,-,https://suumo.jp/chintai/jnc_000071573932/?bc=100387873757
ラトゥール大道,1043.530113,35000,-,-,-,-,-,バストイレ別、バルコニー、エアコン、TVインターホン、エレベーター、洗面化粧台、駐輪場、CATV、ネット使用料不要、プロパンガス,大分県大分市大道町４,ＪＲ日豊本線/大分駅 歩13分,ワンルーム,-,33.54,-,4階,東,マンション,鉄筋コン,4階/7階建,築34年,1991年2月,要,-,即,仲介,フリーレント1ヶ月,119850401,100240030689,-,2024/06/29,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　３２，４４０円　更新無,合計8.21万円（内訳：鍵交換代12100円/清掃費24200円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用3950円/月,-,https://suumo.jp/chintai/jnc_000089674397/?bc=100240030689
